time,ax,ay,az,bx,by,bz
137362340.0,2156.0,632.0,22176.0,-52.0,832.0,18020.0
137764340.0,2148.0,548.0,22152.0,40.0,792.0,18036.0
138166340.0,2320.0,604.0,22116.0,120.0,872.0,17908.0
138568340.0,2320.0,536.0,22220.0,40.0,860.0,18048.0
138970340.0,2208.0,556.0,22304.0,-96.0,808.0,17996.0
139372340.0,2284.0,600.0,22184.0,12.0,772.0,18024.0
139774340.0,2348.0,624.0,22028.0,180.0,932.0,17904.0
140176340.0,1976.0,660.0,22156.0,-40.0,828.0,17896.0
140578340.0,2312.0,432.0,22272.0,32.0,856.0,17932.0
140980340.0,2116.0,408.0,22352.0,-76.0,620.0,18132.0
141382340.0,2380.0,680.0,22084.0,76.0,1000.0,17840.0
141784340.0,2356.0,576.0,22240.0,4.0,884.0,18044.0
142186340.0,2340.0,504.0,22136.0,96.0,892.0,17932.0
142588340.0,2304.0,508.0,22240.0,12.0,796.0,17944.0
142990340.0,2272.0,520.0,22264.0,-20.0,812.0,17960.0
143392340.0,2316.0,432.0,22032.0,12.0,752.0,18000.0
143794340.0,2296.0,636.0,22260.0,-28.0,916.0,18144.0
144196340.0,2244.0,544.0,22088.0,-8.0,848.0,18016.0
144598340.0,2228.0,564.0,21868.0,44.0,848.0,17804.0
145000340.0,2164.0,920.0,22168.0,-216.0,992.0,17972.0
145402340.0,2328.0,424.0,22212.0,88.0,724.0,17860.0
145804340.0,2248.0,556.0,22100.0,8.0,788.0,17836.0
146206340.0,2324.0,596.0,22076.0,20.0,836.0,18024.0
146608340.0,2296.0,484.0,22064.0,40.0,776.0,17880.0
147010340.0,2260.0,652.0,22144.0,72.0,764.0,17832.0
147412340.0,2360.0,608.0,22212.0,44.0,844.0,17996.0
147814340.0,2268.0,580.0,22112.0,4.0,796.0,18044.0
148216340.0,2288.0,688.0,22072.0,52.0,864.0,18012.0
148618340.0,2364.0,528.0,22152.0,4.0,872.0,17884.0
149020340.0,2284.0,548.0,22112.0,-28.0,872.0,18096.0
149422340.0,2412.0,536.0,22176.0,-84.0,840.0,17972.0
149824340.0,2244.0,592.0,22148.0,-32.0,868.0,17920.0
150226340.0,2300.0,592.0,22124.0,-4.0,824.0,18128.0
150628340.0,2184.0,616.0,22108.0,36.0,908.0,17968.0
